block,instance,n_spins,target_kind,target,scenario,n_profile,mapping,profile_label,max_comp_code,dac_mode,dac_bits,dac_span_uT,max_abs_u_offset,mean_abs_u_offset,n_trials,n_sweeps,master_seed,hits,p_success,wilson_lo,wilson_hi,tts99_sweeps,tts99_ratio,ratio_lo,ratio_hi,frac_undefined,energy_min,energy_median,dmedian_vs_baseline,dmed_lo,dmed_hi,residual_median,mean_magnetization,wall_s,predist_bits,predist_span_uT,predist_lsb_mV,predist_lsb_src,predist_code_budget
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,no_offset,,-,-,,none,,,0.0,0.0,200,2000,2024,93,0.465,0.3972,0.5341,14725.034752048668,1.0,nan,nan,nan,-72.88284231924007,-72.75793095143962,0.0,0.0,0.0,0.001713865209226008,0.00140625,9.7,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,1.5151855494766184,0.7796317724682355,200,2000,2024,104,0.52,0.451,0.5882,12548.674637418899,0.8522000014752443,0.6352635604283657,1.1371858132411896,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.1249,0.0,0.00015625,9.9,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,0.064850360478284,0.033427453952495204,200,2000,2024,83,0.415,0.3489,0.4843,17178.873835884424,1.1666440266631193,0.8700997920070341,1.5839036735571128,0.0,-72.88284231924007,-72.75793095143962,0.0,0.0,0.1249,0.001713865209226008,0.00203125,9.5,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,none,,,2.914928390421685,1.5068907350164116,200,2000,2024,138,0.69,0.6228,0.75,7864.134398671694,0.5340655917689817,0.40496621892372076,0.6995234699849627,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.0,0.0,0.00078125,8.2,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,none,,,0.064850360478284,0.032148966041572996,200,2000,2024,102,0.51,0.4412,0.5784,12911.392471625766,0.876832733439181,0.6569372229965059,1.1663462474045667,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.1249,0.0,-0.0021875,7.2,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,5.4171235574208305,2.8551569242646027,200,2000,2024,73,0.365,0.3014,0.4337,20281.273404984393,1.3773328040643635,1.0152758754505489,1.8983988182424956,0.0,-72.88284231924007,-55.72360534484473,17.03432560659489,3.3951,17.7609,0.2354358917457523,-0.11125,6.9,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,0.06546624559232891,0.03310287945624798,200,2000,2024,100,0.5,0.4314,0.5686,13287.71237954945,0.902389203373578,0.6752852366058767,1.2033177829926283,0.0,-72.88284231924007,-72.82038663533984,-0.06245568390022527,-0.1249,0.1249,0.000856932604613004,0.0015625,7.1,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,no_offset,,-,-,,none,,,0.0,0.0,1000,2000,2024,471,0.471,0.4402,0.502,14464.227234155876,1.0,nan,nan,nan,-72.88284231924007,-72.75793095143962,0.0,0.0,0.0,0.001713865209226008,0.00140625,26.6,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,1.5151855494766184,0.7796317724682355,1000,2000,2024,520,0.52,0.489,0.5508,12548.674637418899,0.8675661986135295,0.7641930307822025,0.9826957813772501,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.0,0.0,-0.0009375,26.7,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,0.064850360478284,0.033427453952495204,1000,2000,2024,466,0.466,0.4353,0.497,14681.121832890643,1.014995242761576,0.8923729051553007,1.1540057347223165,0.0,-72.88284231924007,-72.75793095143962,0.0,0.0,0.1249,0.001713865209226008,-0.00090625,28.6,,,,,
