landscape,n,seed,arm,h_clip,n_trials,n_sweeps,success_metric,metric_note,k,p_s,wilson_lo,wilson_hi,k_energy,tts99_sweeps,tts_ratio_vs_ideal,tts_ratio_lo,tts_ratio_hi,energy_min,energy_median,emed_lo,emed_hi,dmed_vs_ideal,dmed_lo,dmed_hi,target
ER14_wiring,14,2024,ideal,3.0,200,2000,energy,p_s (wiring validation),37,0.185,0.1373,0.2446,37,45023.55174449123,1.0,nan,nan,-6.877554338927609,-6.768274641449795,-6.7712,-6.7683,0.0,0.0,0.0,-6.87755433892761
ER14_wiring,14,2024,beta3,3.0,200,2000,energy,p_s (wiring validation),146,0.73,0.6646,0.7868,146,7034.374082903813,0.1562376536356772,0.10413556145420043,0.2214061737796398,-6.877554338927609,-6.877554338927609,-6.8776,-6.8776,-0.10927969747781319,-0.1093,-0.1064,-6.87755433892761
G14,800,2024,ideal,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,1.0,nan,nan,-715.0,-708.0,-709.0,-707.0,0.0,0.0,0.0,-717.0
G14,800,2024,beta3,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,nan,nan,nan,-682.0,-665.5,-667.0,-664.0,42.5,41.0,44.0,-717.0
G14,800,2024,beta6,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,nan,nan,nan,-690.0,-672.0,-673.0,-671.0,36.0,35.0,38.0,-717.0
G14,800,2025,ideal,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,1.0,nan,nan,-716.0,-708.0,-708.0,-707.0,0.0,0.0,0.0,-717.0
G14,800,2025,beta3,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,nan,nan,nan,-684.0,-665.0,-666.0,-663.0,43.0,42.0,45.0,-717.0
G14,800,2025,beta6,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,nan,nan,nan,-689.0,-671.0,-672.0,-670.0,37.0,36.0,38.0,-717.0
G14,800,4096,ideal,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,1.0,nan,nan,-715.0,-708.0,-708.0,-707.0,0.0,0.0,0.0,-717.0
G14,800,4096,beta3,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,nan,nan,nan,-682.0,-664.0,-666.0,-663.0,44.0,41.0,45.0,-717.0
G14,800,4096,beta6,66.0,200,10000,energy,energy_median (p_s=0 regime at T=1e4),0,0.0,0.0,0.0188,0,inf,nan,nan,nan,-685.0,-671.0,-672.0,-670.0,37.0,36.0,38.0,-717.0
M65,11,2024,ideal,12748.0,200,20000,decoded,p_s/TTS (decoded factors),3,0.015,0.0051,0.0432,3,6094059.211775446,1.0,nan,nan,-19607.0,-19207.0,-19351.0,-18931.0,0.0,0.0,0.0,-19607.0
