table,instance,n_trials,k_smtj,ps_smtj,wilson_smtj,k_sa,ps_sa,wilson_sa,ps_ci_overlap,speedup,speedup_lo,speedup_hi,speedup_frac_undef
表3.3-maxcut,G1,200,137,0.685,0.6176..0.7454,148,0.74,0.6751..0.7959,True,0.8575497278120153,0.6635946456580468,1.1011284187280008,0.0
表3.3-maxcut,G14,200,0,0.0,0.0000..0.0188,0,0.0,0.0000..0.0188,True,nan,nan,nan,1.0
表3.3-maxcut,G22,200,4,0.02,0.0078..0.0503,1,0.005,0.0009..0.0278,True,4.030431670939049,0.3316568708700785,8.143970854968469,0.374
表3.3-factor,factor_M15,200,52,0.26,0.2041..0.3249,58,0.29,0.2315..0.3564,True,0.879163833014365,0.6024111918986136,1.283542322160961,0.0
表3.3-factor,factor_M21,200,27,0.135,0.0945..0.1893,28,0.14,0.0987..0.1949,True,0.961563409277414,0.5528445256935803,1.6548266307941761,0.0
表3.3-factor,factor_M33,200,13,0.065,0.0384..0.1080,13,0.065,0.0384..0.1080,True,1.0,0.4272786061155681,2.3102908267856943,0.0
表3.3-factor,factor_M35,200,38,0.19,0.1417..0.2500,39,0.195,0.1461..0.2554,True,0.9714541304426774,0.6136881918836415,1.5473925073836434,0.0
表3.3-factor,factor_M51,200,10,0.05,0.0274..0.0896,9,0.045,0.0239..0.0833,True,1.1140075340423656,0.40917402494278926,3.062728313864655,0.0
表3.3-factor,factor_M65,200,10,0.05,0.0274..0.0896,11,0.055,0.0310..0.0958,True,0.9067169115622981,0.33814543731786206,2.279097438662504,0.0
表3.3-factor,factor_M77,200,19,0.095,0.0617..0.1436,18,0.09,0.0577..0.1378,True,1.0584202747966598,0.5368053652575725,2.0720823995194735,0.0
表3.3-factor,factor_M91,200,12,0.06,0.0347..0.1019,12,0.06,0.0347..0.1019,True,1.0,0.4149188704738477,2.3825535471094628,0.0
表3.3-factor,factor_M143,200,15,0.075,0.0460..0.1200,13,0.065,0.0384..0.1080,True,1.1599909509596147,0.5236170777371626,2.6471555062788235,0.0
表3.3-tsp,burma14,100,1,0.01,0.0018..0.0545,1,0.01,0.0018..0.0545,True,1.0,0.0,3.030665634332692,0.3728
表3.3-tsp,ulysses16,100,1,0.01,0.0018..0.0545,1,0.01,0.0018..0.0545,True,1.0,0.0,3.030665634332692,0.3728
表3.2-maxcut,G1,200,137,0.685,0.6176..0.7454,,,,,,,,
表3.2-maxcut,G14,200,0,0.0,0.0000..0.0188,,,,,,,,
表3.2-maxcut,G22,200,4,0.02,0.0078..0.0503,,,,,,,,
表3.4-factor,,200,52,0.26,0.2041..0.3249,,,,,,,,
表3.4-factor,,200,27,0.135,0.0945..0.1893,,,,,,,,
表3.4-factor,,200,13,0.065,0.0384..0.1080,,,,,,,,
表3.4-factor,,200,38,0.19,0.1417..0.2500,,,,,,,,
表3.4-factor,,200,10,0.05,0.0274..0.0896,,,,,,,,
表3.4-factor,,200,10,0.05,0.0274..0.0896,,,,,,,,
表3.4-factor,,200,19,0.095,0.0617..0.1436,,,,,,,,
表3.4-factor,,200,12,0.06,0.0347..0.1019,,,,,,,,
表3.4-factor,,200,15,0.075,0.0460..0.1200,,,,,,,,
表3.5-tsp,burma14,100,0,0.0,0.0000..0.0370,,,,,,,,
表3.5-tsp,ulysses16,100,0,0.0,0.0000..0.0370,,,,,,,,
表3.5-tsp,gr17,100,0,0.0,0.0000..0.0370,,,,,,,,
