instance,n,degree_mean,axis,param,value,n_trials,n_sweeps,hits,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,energy_min,energy_median,emed_lo,emed_hi,dmed_vs_ideal,dmed_lo,dmed_hi,target,metric_note,source,wall_s
G1,800,47.94,baseline,ideal,0,200,10000,144,0.72,0.6541,0.7776,36176.7,1.0,nan,nan,-2036.0,-2036.0,-2036.0,-2036.0,0.0,0.0,0.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,162.1
G1,800,47.94,span_6b,span,2.0,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-1194.0,-1055.0,-1071.0,-1047.0,981.0,965.0,989.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,300.3
G1,800,47.94,span_6b,span,4.0,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-1968.0,-1870.0,-1880.5,-1863.5,166.0,155.5,172.5,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,311.2
G1,800,47.94,span_6b,span,6.0,200,10000,4,0.02,0.0078,0.0503,2279481.7,63.009657854568474,29.088326436023046,264.94052314099014,-2036.0,-2010.5,-2013.5,-2008.0,25.5,22.5,28.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,333.8
G1,800,47.94,span_6b,span,8.0,200,10000,69,0.345,0.2826,0.4132,108838.4,3.008521330598551,2.2611215237635967,4.106676982372614,-2036.0,-2033.0,-2035.0,-2031.0,3.0,1.0,5.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,295.6
G1,800,47.94,span_6b,span,10.0,200,10000,127,0.635,0.5663,0.6986,45692.7,1.263040795465411,0.986189356024189,1.6279274960325403,-2036.0,-2036.0,-2036.0,-2036.0,0.0,0.0,0.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,294.6
G1,800,47.94,bits_span4,bits,4,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-1976.0,-1874.0,-1881.0,-1866.0,162.0,155.0,170.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,308.3
G1,800,47.94,reset_k,k,1,200,10000,131,0.655,0.5868,0.7174,43273.1,1.1961592587764487,0.9326007411640307,1.5514137908868189,-2036.0,-2036.0,-2036.0,-2036.0,0.0,0.0,0.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,169.0
G1,800,47.94,reset_k,k,3,200,10000,139,0.695,0.628,0.7546,38782.2,1.0720220989606069,0.8360000772186579,1.3754858955642817,-2036.0,-2036.0,-2036.0,-2036.0,0.0,0.0,0.0,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),this-run,130.3
G1,800,47.94,bits_span4,bits,6,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-1968.0,-1870.0,-1880.5,-1863.5,166.0,155.5,172.5,-2036.0,p_s/TTS primary (ideal p_s~0.7 at N=200),dedup(span_6b@4),311.2
G22,2000,19.99,baseline,ideal,0,200,10000,3,0.015,0.0051,0.0432,3047029.6,1.0,nan,nan,-3364.0,-3362.0,-3362.0,-3361.0,0.0,0.0,0.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,71.9
G22,2000,19.99,span_6b,span,2.0,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-1983.0,-1720.5,-1730.5,-1705.0,1641.5,1631.5,1657.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,128.8
G22,2000,19.99,span_6b,span,4.0,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-3215.0,-3077.5,-3084.5,-3070.0,284.5,277.0,292.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,126.3
G22,2000,19.99,span_6b,span,6.0,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-3355.0,-3321.0,-3323.0,-3317.0,41.0,39.0,45.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,129.8
G22,2000,19.99,span_6b,span,8.0,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-3363.0,-3356.0,-3358.0,-3354.0,6.0,4.0,8.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,130.7
G22,2000,19.99,span_6b,span,10.0,200,10000,1,0.005,0.0009,0.0278,9187295.3,3.015164429962118,0.0,6.076599170033731,-3364.0,-3361.0,-3361.0,-3360.0,1.0,0.0,2.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,130.8
G22,2000,19.99,bits_span4,bits,4,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-3193.0,-3079.5,-3087.0,-3073.5,282.5,275.0,288.5,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,129.0
G22,2000,19.99,reset_k,k,1,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-3363.0,-3360.0,-3361.0,-3359.5,2.0,0.0,2.5,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,86.7
G22,2000,19.99,reset_k,k,3,200,10000,2,0.01,0.0027,0.0357,4582105.8,1.503794304026439,0.0,6.076599170033731,-3364.0,-3362.0,-3362.0,-3361.0,0.0,-1.0,1.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",this-run,86.1
G22,2000,19.99,bits_span4,bits,6,200,10000,0,0.0,0.0,0.0188,inf,inf,nan,nan,-3215.0,-3077.5,-3084.5,-3070.0,284.5,277.0,292.0,-3364.0,"energy_median primary (ideal p_s~0.004; N=200 hit counts 0-2, Wilson CIs wide by design)",dedup(span_6b@4),126.3
G14,800,11.73,baseline,ideal,0,200,10000,0,0.0,0.0,0.0188,inf,1.0,nan,nan,-715.0,-708.0,-709.0,-707.0,0.0,0.0,0.0,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,39.5
G14,800,11.73,span_6b,span,2.0,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-465.0,-395.0,-400.0,-390.0,313.0,308.0,317.5,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,72.4
G14,800,11.73,span_6b,span,4.0,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-662.0,-604.0,-608.0,-602.4875,104.0,100.0,106.0,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,72.9
G14,800,11.73,span_6b,span,6.0,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-711.0,-685.0,-687.0,-682.5,23.0,20.5,25.5,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,72.3
G14,800,11.73,span_6b,span,8.0,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-713.0,-701.0,-702.0,-700.0,7.0,5.0,8.0,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,159.7
G14,800,11.73,span_6b,span,10.0,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-715.0,-706.0,-707.0,-705.0,2.0,0.0,3.0,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,177.3
G14,800,11.73,bits_span4,bits,4,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-642.0,-606.0,-609.0125,-603.0,102.0,98.5,105.0,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,198.2
G14,800,11.73,reset_k,k,1,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-716.0,-707.0,-707.0,-706.0,1.0,0.0,2.5,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,126.9
G14,800,11.73,reset_k,k,3,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-715.0,-708.0,-709.0,-707.0,0.0,-1.5,1.0,-717.0,energy_median only (p_s=0 regime at T=1e4),this-run,105.1
G14,800,11.73,bits_span4,bits,6,200,10000,0,0.0,0.0,0.0188,inf,nan,nan,nan,-662.0,-604.0,-608.0,-602.4875,104.0,100.0,106.0,-717.0,energy_median only (p_s=0 regime at T=1e4),dedup(span_6b@4),72.9
