scope,n,er_seed,axis,value,n_seeds,n_trials,hits,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,ratio_geomean,ratio_min,ratio_max,target,source
per_seed,14,0,baseline,0.0,1,200,37,0.185,0.1373,0.2446,45023.6,1.0,nan,nan,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,bits,2.0,1,200,28,0.14,0.0987,0.1949,61067.3,1.3563403147975033,0.8317921115569308,2.242823349750715,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,bits,3.0,1,200,22,0.11,0.0738,0.1609,79035.8,1.7554317906483805,1.0463316743766908,3.0569360902487155,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,bits,4.0,1,200,15,0.075,0.046,0.12,118139.5,2.6239497306598145,1.4961613096222044,5.1619484494099535,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,bits,5.0,1,200,17,0.085,0.0537,0.1319,103683.6,2.302874825248944,1.3442776961951275,4.329336522410349,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,bits,6.0,1,200,16,0.08,0.0498,0.126,110460.1,2.4533847252912278,1.4121662856501567,4.719360768110112,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,bits,8.0,1,200,17,0.085,0.0537,0.1319,103683.6,2.302874825248944,1.3442776961951275,4.329336522410349,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,span,2.0,1,200,4,0.02,0.0078,0.0503,455896.3,10.125730305654487,4.417313662658211,42.47111114414555,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,span,3.0,1,200,8,0.04,0.0204,0.0769,225622.0,5.011199676678508,2.567559587939491,13.53526982135761,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,span,4.0,1,200,16,0.08,0.0498,0.126,110460.1,2.4533847252912278,1.4121662856501567,4.719360768110112,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,span,6.0,1,200,29,0.145,0.1029,0.2005,58794.2,1.3058550295203084,0.8042530702598846,2.154520831130028,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,span,8.0,1,200,29,0.145,0.1029,0.2005,58794.2,1.3058550295203084,0.8042530702598846,2.154520831130028,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,k,1.0,1,200,34,0.17,0.1243,0.2282,49430.4,1.0978781132163453,0.6828457752386715,1.7841280404338624,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,k,2.0,1,200,43,0.215,0.1637,0.277,38048.0,0.8450689735193219,0.5397415500188879,1.3262608360219512,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,k,3.0,1,200,47,0.235,0.1816,0.2984,34382.4,0.7636538354872615,0.4865651049263102,1.1750897723578144,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,k,4.0,1,200,45,0.225,0.1726,0.2877,36134.3,0.8025633028826643,0.5123563757451198,1.2511739601436118,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,0,k,5.0,1,200,44,0.22,0.1682,0.2824,37069.5,0.8233359356917503,0.5242693381940352,1.2844093924065276,,,,-6.877554338927609,canonical(results_circuit_ablation)
per_seed,14,1,baseline,0,1,200,69,0.345,0.2826,0.4132,21767.7,1.0,nan,nan,,,,-6.797095245275903,this-run
per_seed,14,1,bits,2,1,200,14,0.07,0.0422,0.1141,126915.4,5.830453407822209,3.4765803199113323,11.710250970363713,,,,-6.797095245275903,this-run
per_seed,14,1,bits,3,1,200,20,0.1,0.0657,0.1494,87417.4,4.015926086780263,2.55644957809275,7.1543188187295845,,,,-6.797095245275903,this-run
per_seed,14,1,bits,4,1,200,16,0.08,0.0498,0.126,110460.1,5.074500824950146,3.096863124972916,9.797125081388115,,,,-6.797095245275903,this-run
per_seed,14,1,bits,5,1,200,17,0.085,0.0537,0.1319,103683.6,4.763191064171771,2.9389778859943974,9.007716605324925,,,,-6.797095245275903,this-run
per_seed,14,1,bits,8,1,200,17,0.085,0.0537,0.1319,103683.6,4.763191064171771,2.9389778859943974,9.007716605324925,,,,-6.797095245275903,this-run
per_seed,14,1,span,2.0,1,200,5,0.025,0.0107,0.0572,363789.0,16.712349015737782,8.0472321559163,76.93950382628218,,,,-6.797095245275903,this-run
per_seed,14,1,span,3.0,1,200,9,0.045,0.0239,0.0833,200033.7,9.189484156181758,5.08532355524024,23.66196735070528,,,,-6.797095245275903,this-run
per_seed,14,1,span,4.0,1,200,17,0.085,0.0537,0.1319,103683.6,4.763191064171771,2.9389778859943974,9.007716605324925,,,,-6.797095245275903,this-run
per_seed,14,1,span,6.0,1,200,54,0.27,0.2132,0.3354,29266.0,1.344472822376636,0.9447131931375141,1.9382720021734212,,,,-6.797095245275903,this-run
per_seed,14,1,span,8.0,1,200,64,0.32,0.2593,0.3875,23881.9,1.097125243959527,0.7802252693203288,1.5550054782410798,,,,-6.797095245275903,this-run
per_seed,14,1,k,1,1,200,69,0.345,0.2826,0.4132,21767.7,1.0,0.7116144861750064,1.4089210063424495,,,,-6.797095245275903,this-run
per_seed,14,1,k,2,1,200,70,0.35,0.2873,0.4184,21380.5,0.9822117533929211,0.7017732471634076,1.3766521742340798,,,,-6.797095245275903,this-run
per_seed,14,1,k,3,1,200,76,0.38,0.3156,0.4489,19267.1,0.8851220818863673,0.6372784256657406,1.2293781884389305,,,,-6.797095245275903,this-run
per_seed,14,1,k,4,1,200,76,0.38,0.3156,0.4489,19267.1,0.8851220818863673,0.6372784256657406,1.2293781884389305,,,,-6.797095245275903,this-run
per_seed,14,1,k,5,1,200,74,0.37,0.3061,0.4388,19934.3,0.9157739618434181,0.6547772169610147,1.288285070506528,,,,-6.797095245275903,this-run
per_seed,14,1,bits,6,1,200,17,0.085,0.0537,0.1319,103683.6,4.763191064171771,2.9389778859943974,9.007716605324925,,,,-6.797095245275903,dedup(span@4)
per_seed,14,2,baseline,0,1,200,128,0.64,0.5714,0.7033,9015.2,1.0,nan,nan,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,2,1,200,29,0.145,0.1029,0.2005,58794.2,6.521713370623075,4.453630915341401,10.331531593212091,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,3,1,200,47,0.235,0.1816,0.2984,34382.4,3.81384710924178,2.741091954198918,5.470827704643499,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,4,1,200,45,0.225,0.1726,0.2877,36134.3,4.008169134290484,2.895882414037688,5.789792859742442,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,5,1,200,39,0.195,0.1461,0.2554,42461.0,4.709958555585023,3.350286668110736,7.044618574262338,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,8,1,200,40,0.2,0.1505,0.2609,41275.4,4.578448453988205,3.2657299274721936,6.76559885633757,,,,-7.3421235819381305,this-run
per_seed,14,2,span,2.0,1,200,5,0.025,0.0107,0.0572,363789.0,40.35306880303118,19.86782947394237,190.42473425577006,,,,-7.3421235819381305,this-run
per_seed,14,2,span,3.0,1,200,21,0.105,0.0697,0.1552,83027.2,9.209743746667751,6.03508873088742,16.051625216843863,,,,-7.3421235819381305,this-run
per_seed,14,2,span,4.0,1,200,41,0.205,0.1549,0.2663,40147.4,4.4533244224475235,3.172523328576404,6.521713370623075,,,,-7.3421235819381305,this-run
per_seed,14,2,span,6.0,1,200,86,0.43,0.3633,0.4993,16385.0,1.817500202426776,1.3782389954850875,2.4178603312123332,,,,-7.3421235819381305,this-run
per_seed,14,2,span,8.0,1,200,119,0.595,0.5258,0.6606,10189.9,1.130309965666316,0.8725155485811936,1.4669770901909012,,,,-7.3421235819381305,this-run
per_seed,14,2,k,1,1,200,121,0.605,0.5359,0.6702,9915.6,1.099886724716938,0.8492627322084754,1.4272998685197658,,,,-7.3421235819381305,this-run
per_seed,14,2,k,2,1,200,134,0.67,0.6022,0.7314,8307.6,0.921516812179742,0.7177575556707124,1.179972446848546,,,,-7.3421235819381305,this-run
per_seed,14,2,k,3,1,200,137,0.685,0.6176,0.7454,7973.1,0.8844066834258937,0.6872805073919613,1.1334426907647899,,,,-7.3421235819381305,this-run
per_seed,14,2,k,4,1,200,135,0.675,0.6073,0.7361,8194.8,0.908998923131382,0.7006297387086359,1.177366258776953,,,,-7.3421235819381305,this-run
per_seed,14,2,k,5,1,200,134,0.67,0.6022,0.7314,8307.6,0.921516812179742,0.7177575556707124,1.179972446848546,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,6,1,200,41,0.205,0.1549,0.2663,40147.4,4.4533244224475235,3.172523328576404,6.521713370623075,,,,-7.3421235819381305,dedup(span@4)
per_seed,14,3,baseline,0,1,200,38,0.19,0.1417,0.25,43708.7,1.0,nan,nan,,,,-8.72723550198506,this-run
per_seed,14,3,bits,2,1,200,17,0.085,0.0537,0.1319,103683.6,2.3721507623615756,1.3639113565216079,4.576520562184625,,,,-8.72723550198506,this-run
per_seed,14,3,bits,3,1,200,14,0.07,0.0422,0.1141,126915.4,2.903665695947471,1.6281144421956029,6.086458102266845,,,,-8.72723550198506,this-run
per_seed,14,3,bits,4,1,200,13,0.065,0.0384,0.108,137040.8,3.1353214020017517,1.7464877660540803,6.68676029440647,,,,-8.72723550198506,this-run
per_seed,14,3,bits,5,1,200,15,0.075,0.046,0.12,118139.5,2.7028843625099177,1.5319780743730986,5.466257931211323,,,,-8.72723550198506,this-run
