degree,rep,rung,n,instance,instance_seed,dynamics,n_sweeps,n_trials,master_seed,target,target_kind,hits,p_success,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_sa_over_gibbs,ratio_lo,ratio_hi,frac_undefined,energy_min,energy_median,energy_mean,energy_std,heff_abs_median,heff_abs_var,heff_var,wall_s
6,0,selected,1000,RR_n1000_d6_s706,706,gibbs,10000,500,2024,-906.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",10,0.02,0.0109,0.03642,2279481.7118369876,,,,,-906.0,-900.0,-898.956,2.749193336235195,1.0,0.62083,1.49906,24.3
6,0,selected,1000,RR_n1000_d6_s706,706,metropolis,10000,500,2024,-906.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",33,0.066,0.04738,0.09124,674465.1981757451,0.29589,0.12053,0.55942,0.0,-906.0,-900.0,-900.212,2.688318433519363,1.0,0.62083,1.49906,22.7
6,0,robustness,1000,RR_n1000_d6_s706,706,gibbs,30000,500,2024,-906.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",31,0.062,0.04402,0.08666,2158493.76343557,,,,,-906.0,-900.0,-900.272,2.669459870460689,1.0,0.62083,1.49906,51.5
6,0,robustness,1000,RR_n1000_d6_s706,706,metropolis,30000,500,2024,-906.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",81,0.162,0.1323,0.19685,781698.0374596196,0.36215,0.22956,0.53643,0.0,-906.0,-902.0,-901.304,2.796351909184536,1.0,0.62083,1.49906,62.2
6,1,selected,1000,RR_n1000_d6_s10706,10706,gibbs,10000,500,2024,-908.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",37,0.074,0.05416,0.10034,598999.4316237756,,,,,-908.0,-902.0,-901.744,3.4173767717358876,1.0,0.62096,1.49958,24.0
6,1,selected,1000,RR_n1000_d6_s10706,10706,metropolis,10000,500,2024,-908.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",47,0.094,0.07143,0.12277,466507.0959515769,0.77881,0.49365,1.20551,0.0,-908.0,-904.0,-902.76,3.0695928068719476,1.0,0.62096,1.49958,21.7
12,0,selected,1000,RR_n1000_d12_s712,712,gibbs,10000,500,2024,-1298.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",12,0.024,0.01378,0.04148,1895701.834162391,,,,,-1298.0,-1294.0,-1292.64,2.3913176284216195,1.0,1.16741,2.99385,32.2
12,0,selected,1000,RR_n1000_d12_s712,712,metropolis,10000,500,2024,-1298.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",28,0.056,0.03903,0.07975,799104.8203435915,0.42154,0.18339,0.7977,0.0,-1298.0,-1294.0,-1293.336,2.217905318087316,1.0,1.16741,2.99385,30.4
12,0,robustness,1000,RR_n1000_d12_s712,712,gibbs,30000,500,2024,-1298.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",26,0.052,0.03573,0.0751,2587136.6307204245,,,,,-1298.0,-1294.0,-1293.664,1.78412555611986,1.0,1.16741,2.99385,91.8
12,0,robustness,1000,RR_n1000_d12_s712,712,metropolis,30000,500,2024,-1298.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",38,0.076,0.05587,0.1026,1747842.8599763752,0.67559,0.39618,1.11074,0.0,-1298.0,-1294.0,-1294.168,1.7446420836377874,1.0,1.16741,2.99385,87.6
12,1,selected,1000,RR_n1000_d12_s10712,10712,gibbs,3000,500,2024,-1312.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",196,0.392,0.35019,0.43546,27765.383525591056,,,,,-1312.0,-1306.0,-1306.588,5.38426002343869,1.0,1.16546,2.99446,10.7
12,1,selected,1000,RR_n1000_d12_s10712,10712,metropolis,3000,500,2024,-1312.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",314,0.628,0.58481,0.66924,13971.129030571705,0.50319,0.41709,0.60208,0.0,-1312.0,-1312.0,-1309.172,4.129214937491144,1.0,1.16546,2.99446,10.6
24,0,selected,1000,RR_n1000_d24_s724,724,gibbs,10000,500,2024,-1834.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",87,0.174,0.14329,0.20968,240905.9431433548,,,,,-1834.0,-1828.0,-1827.972,4.494353791147288,2.0,2.25491,6.00003,44.3
24,0,selected,1000,RR_n1000_d24_s724,724,metropolis,10000,500,2024,-1834.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",153,0.306,0.26721,0.34775,126071.18784426711,0.52332,0.40004,0.67927,0.0,-1834.0,-1830.0,-1829.564,3.9367377357400883,2.0,2.25491,6.00003,42.6
24,0,robustness,1000,RR_n1000_d24_s724,724,gibbs,30000,500,2024,-1834.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",173,0.346,0.30562,0.38873,325340.3504990126,,,,,-1834.0,-1830.0,-1830.02,3.682336214959194,2.0,2.25491,6.00003,128.1
24,0,robustness,1000,RR_n1000_d24_s724,724,metropolis,30000,500,2024,-1834.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",224,0.448,0.40497,0.49182,232503.2378867416,0.71465,0.5831,0.86848,0.0,-1834.0,-1832.0,-1830.996,3.289982370773436,2.0,2.25491,6.00003,122.2
24,1,selected,1000,RR_n1000_d24_s10724,10724,gibbs,10000,500,2024,-1836.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",214,0.428,0.38534,0.47176,82438.88136083786,,,,,-1838.0,-1834.0,-1832.42,5.0903437997840575,2.0,2.25263,5.99293,43.6
24,1,selected,1000,RR_n1000_d24_s10724,10724,metropolis,10000,500,2024,-1836.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",291,0.582,0.5383,0.62445,52795.004741817625,0.64041,0.53195,0.76596,0.0,-1838.0,-1836.0,-1833.792,3.8972728926776474,2.0,2.25263,5.99293,41.9
48,0,selected,1000,RR_n1000_d48_s748,748,gibbs,10000,500,2024,-2609.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",50,0.1,0.07668,0.12942,437086.90653565666,,,,,-2609.0,-2605.0,-2603.388,5.8173409733313735,2.0,4.42574,11.9621,76.7
48,0,selected,1000,RR_n1000_d48_s748,748,metropolis,10000,500,2024,-2609.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",52,0.104,0.08019,0.13384,419357.62920166727,0.95944,0.64122,1.42156,0.0,-2609.0,-2607.0,-2604.944,4.423218737525875,2.0,4.42574,11.9621,64.5
48,0,robustness,1000,RR_n1000_d48_s748,748,gibbs,30000,500,2024,-2609.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",55,0.11,0.08549,0.14046,1185536.6109027343,,,,,-2609.0,-2607.0,-2605.756,2.619248747255594,2.0,4.42574,11.9621,191.7
48,0,robustness,1000,RR_n1000_d48_s748,748,metropolis,30000,500,2024,-2609.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",61,0.122,0.09616,0.15361,1061843.8362601334,0.89567,0.61911,1.30462,0.0,-2609.0,-2607.0,-2606.268,2.023901183358516,2.0,4.42574,11.9621,188.8
48,1,selected,1000,RR_n1000_d48_s10748,10748,gibbs,10000,500,2024,-2610.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",51,0.102,0.07843,0.13164,428048.6283275798,,,,,-2610.0,-2600.0,-2600.604,6.282291301746522,2.0,4.44021,12.02236,65.3
48,1,selected,1000,RR_n1000_d48_s10748,10748,metropolis,10000,500,2024,-2610.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",77,0.154,0.12501,0.18827,275369.681535733,0.64331,0.44223,0.91553,0.0,-2610.0,-2601.0,-2602.136,5.676398858431285,2.0,4.44021,12.02236,64.2
96,0,selected,1000,RR_n1000_d96_s796,796,gibbs,10000,500,2024,-3714.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",93,0.186,0.15433,0.22245,223774.7337537282,,,,,-3714.0,-3706.0,-3702.612,9.673130620435144,3.0,8.81441,24.02063,115.5
96,0,selected,1000,RR_n1000_d96_s796,796,metropolis,10000,500,2024,-3714.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",157,0.314,0.27487,0.35597,122192.71083434128,0.54605,0.42092,0.70222,0.0,-3714.0,-3708.0,-3705.128,9.13496666660585,3.0,8.81441,24.02063,114.6
96,0,robustness,1000,RR_n1000_d96_s796,796,gibbs,30000,500,2024,-3714.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",185,0.37,0.32882,0.41316,299014.0750241926,,,,,-3714.0,-3710.0,-3706.684,8.322748584452134,3.0,8.81441,24.02063,341.9
96,0,robustness,1000,RR_n1000_d96_s796,796,metropolis,30000,500,2024,-3714.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",221,0.442,0.39908,0.48581,236811.7549740579,0.79198,0.64763,0.96219,0.0,-3714.0,-3710.0,-3708.388,6.797753746643078,3.0,8.81441,24.02063,341.0
96,1,selected,1000,RR_n1000_d96_s10796,10796,gibbs,10000,500,2024,-3714.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",198,0.396,0.35408,0.4395,91339.60711936852,,,,,-3714.0,-3710.0,-3707.4,8.70815709550534,3.0,8.7981,24.03043,113.8
96,1,selected,1000,RR_n1000_d96_s10796,10796,metropolis,10000,500,2024,-3714.0,"LONGRUN_BEST(T=100000,trials=100/dynamics,both dynamics,seed=20260723)",248,0.496,0.45237,0.53969,67211.1975506475,0.73584,0.60996,0.88882,0.0,-3714.0,-3712.0,-3709.532,6.965987080091378,3.0,8.7981,24.03043,113.2
