block,instance,n,n_sweeps,p_s,deg_mean,coupling,b_accum,e_accum_fJ,e_accum_provenance,synapse_on,synapse_pJ_per_update,k,n_par,share,rail_vt,platform,e_update_pJ,tts_s,energy_J,energy_ratio_vs_cmos,tts_ratio_vs_cmos
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.0003886866695581642,2.4971623570382984e-05,0.15660000000000002,0.15
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.00726325823181023,0.0004680186154474716,2.935,2.8030000000000004
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.002591244463721095,0.00015946119776745197,1.0,1.0
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.000159461197767452,0.0318922395534904,200.00000000000006,0.06153846153846154
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,4.509859270643103,126.27605957800687,791892.0799915212,1740.4221538275192
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,1,17.5824,3,64,1.0,4.0,sMTJ-array,18.365426459999995,0.0003886866695581642,0.000585714580164331,0.8132618738969648,0.15
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,1,17.5824,3,64,1.0,4.0,sMTJ-array-e2e,32.25742646,0.00726325823181023,0.0010287615720414197,1.428430488510047,2.8030000000000004
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,1,17.5824,3,64,1.0,4.0,cmos-pbit,22.582426459999994,0.002591244463721095,0.0007202041543613999,1.0,1.0
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,1,17.5824,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.000159461197767452,0.0318922395534904,44.282221034630155,0.06153846153846154
caliber,G1,800,10000,0.685,47.94,count_core,8,366.76,MEASURED,1,17.5824,3,64,1.0,4.0,cpu-numba,3959460.399957606,4.509859270643103,126.27605957800687,175333.7006087878,1740.4221538275192
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.054707561084087704,0.0035696683607367224,0.1566,0.15
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,1.0223019581246524,0.06690278824241559,2.935,2.8030000000000004
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.36471707389391805,0.02279481711836988,1.0,1.0
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0182358536946959,4.558963423673976,200.00000000000003,0.049999999999999996
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,644.6798264604378,18051.035140892258,791892.0799915213,1767.6162499810741
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,1,7.3315,3,64,1.0,4.0,sMTJ-array,8.114512409999998,0.054707561084087704,0.03699376527813855,0.6580305918858497,0.15
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,1,7.3315,3,64,1.0,4.0,sMTJ-array-e2e,22.00651241,1.0223019581246524,0.10032688515981741,1.784575296064597,2.8030000000000004
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,1,7.3315,3,64,1.0,4.0,cmos-pbit,12.331512409999998,0.36471707389391805,0.0562189140357717,1.0,1.0
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,1,7.3315,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0182358536946959,4.558963423673976,81.09305385680591,0.049999999999999996
caliber,G22,2000,10000,0.02,19.99,count_core,8,366.76,MEASURED,1,7.3315,3,64,1.0,4.0,cpu-numba,3959460.399957606,644.6798264604378,18051.035140892258,321084.7354576524,1767.6162499810741
caliber,factor_M15,5,20000,0.26,4.0,rand_core,8,681.48,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.00022941343220452486,1.1975381161076197e-06,0.1566,0.15
caliber,factor_M15,5,20000,0.26,4.0,rand_core,8,681.48,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.004286972336461889,2.244428078400935e-05,2.935,2.803000000000001
caliber,factor_M15,5,20000,0.26,4.0,rand_core,8,681.48,MEASURED,0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.001529422881363499,7.647114406817495e-06,1.0,1.0
caliber,factor_M15,5,20000,0.26,4.0,rand_core,8,681.48,MEASURED,0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.00030588457627269983,0.001529422881363499,200.0,0.2
