part,instance,n,arm,channel,label,hits,n_trials,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,energy_min,energy_median,n_sweeps,wall_s
a,ER14,14,ideal,-,MEASURED,37,200,0.185,0.1373,0.2446,45023.6,1.0,nan,nan,-6.877554338927609,-6.768274641449795,2000,2.8
a,ER14,14,ideal_n1000,-,MEASURED (baseline for the composition statistic),187,1000,0.187,0.164,0.2123,44489.2,1.0,,,-6.877554338927609,-6.768274641449795,2000,10.1
a,ER14,14,single_g_dev,g_dev,MEASURED (V_T ratio 23.414/22.43),34,200,0.17,0.1243,0.2282,49430.4,1.0978781132163453,0.6828457752386715,1.7841280404338624,-6.877554338927609,-6.768274641449795,2000,3.1
a,ER14,14,single_h_off,h_off,ANALYTIC (Chapter-2 P->AP offset is 0),,0,,,,,1.0,1.0,1.0,,,2000,0.0
a,ER14,14,single_sigma_c2c,sigma_c2c,ANALYTIC (Chapter-2 slope absorbs C2C),,0,,,,,1.0,1.0,1.0,,,2000,0.0
a,ER14,14,single_cv_gain,cv_gain,MEASURED (Brinkman-PDK 7.7% baseline),27,200,0.135,0.0945,0.1893,63508.3,1.410557329564727,0.8650412500586291,2.358201815425944,-6.877554338927609,-6.768274641449795,2000,3.4
a,ER14,14,single_dac,dac,"MEASURED 6-bit grid, rails +/-4 V_T",19,200,0.095,0.0617,0.1436,92269.2,2.0493536228156755,1.2093648676177613,3.7255749361738086,-6.877554338927609,-6.3601117777340335,2000,4.6
a,ER14,14,single_reset,reset,MEASURED (RX-05 LLG rho_eff k=3),36,200,0.18,0.1329,0.2391,46411.2,1.030819844223299,0.6416351378498313,1.647394823389343,-6.877554338927609,-6.768274641449795,2000,3.7
a,ER14,14,single_read_flip,read_flip,MEASURED (RX-06 as-committed),31,200,0.155,0.1114,0.2116,54687.2,1.214634862395212,0.7492355383323726,1.9939413833662378,-6.877554338927609,-6.768274641449795,2000,3.5
a,ER14,14,fullstack,all,MEASURED (all seven channels),15,200,0.075,0.046,0.12,118139.5,2.6239497306598145,1.4961613096222044,5.1619484494099535,-6.877554338927609,-6.441509916510535,2000,5.6
