instance,n,arm,axis,basis,p_read_flip,n_trials,n_sweeps,beta0,betaf,master_seed,hits,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,energy_min,energy_median,dmed_vs_ideal,dmed_lo,dmed_hi,target,spec,wall_s
ER14_p0.3,14,ideal,baseline,-,0.0,200,2000,0.1,5.0,2024,37,0.185,0.1373,0.2446,45023.6,1.0,nan,nan,-6.877554338927609,-6.768274641449795,0.0,0.0,0.0,-6.87755433892761,"('ideal', {})",8.2
ER14_p0.3,14,as_committed_x1,read_flip,as_committed,0.0008230995366729776,200,2000,0.1,5.0,2024,31,0.155,0.1114,0.2116,54687.2,1.214634862395212,0.7492355383323726,1.9939413833662378,-6.877554338927609,-6.768274641449795,0.0,-0.0029,0.0729,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.0008230995366729776})",3.6
ER14_p0.3,14,as_committed_x3,read_flip,as_committed,0.002469298610018933,200,2000,0.1,5.0,2024,25,0.125,0.0861,0.178,68975.1,1.5319780743730986,0.9301452572736154,2.5943877336755605,-6.877554338927609,-6.728897624319201,0.039377017130594716,0.0,0.1064,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.002469298610018933})",3.5
ER14_p0.3,14,as_committed_x10,read_flip,as_committed,0.008230995366729776,200,2000,0.1,5.0,2024,15,0.075,0.046,0.12,118139.5,2.6239497306598145,1.4961613096222044,5.1619484494099535,-6.877554338927609,-6.66192021719717,0.10635442425262553,0.1064,0.2874,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.008230995366729776})",3.5
ER14_p0.3,14,conservative_x1,read_flip,conservative,0.18194261193564404,200,2000,0.1,5.0,2024,2,0.01,0.0027,0.0357,916421.2,20.354261660818537,7.122278238429746,50.85089732948306,-6.877554338927609,-3.5254056414184283,3.242869000031367,2.8571,3.5028,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.18194261193564404})",3.7
ER14_p0.3,14,conservative_x3_cap+conservative_x10_cap,read_flip,conservative,0.5,200,2000,0.1,5.0,2024,0,0.0,0.0,0.0188,inf,inf,nan,nan,-6.284320783817235,0.11219196431496377,6.880466605764759,6.4793,7.0798,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.5})",3.7
ER14_p0.3,14,tolerance_0.001,tolerance,sweep,0.001,200,2000,0.1,5.0,2024,36,0.18,0.1329,0.2391,46411.2,1.030819844223299,0.6416351378498313,1.647394823389343,-6.877554338927609,-6.771199914674983,-0.0029252732251876523,-0.0029,0.0029,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.001})",3.6
ER14_p0.3,14,tolerance_0.01,tolerance,sweep,0.01,200,2000,0.1,5.0,2024,10,0.05,0.0274,0.0896,179562.3,3.9881853599741706,2.1586089599912266,9.5220848188319,-6.877554338927609,-6.483812206866317,0.2844624345834781,0.1064,0.4177,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.01})",3.7
ER14_p0.3,14,tolerance_0.03,tolerance,sweep,0.03,200,2000,0.1,5.0,2024,11,0.055,0.031,0.0958,162812.1,3.616155112333752,1.9627491269073216,8.085119067013466,-6.877554338927609,-5.37833652124102,1.3899381202087753,0.5509,1.6576,-6.87755433892761,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.03})",3.6
G1,800,ideal,baseline,-,0.0,200,10000,0.1,10.0,2024,144,0.72,0.6541,0.7776,36176.7,1.0,nan,nan,-2036.0,-2036.0,0.0,0.0,0.0,-2036.0,"('ideal', {})",169.2
G1,800,as_committed_x1,read_flip,as_committed,0.0008230995366729776,200,10000,0.1,10.0,2024,39,0.195,0.1461,0.2554,212304.9,5.8685540591710526,4.168847217550331,8.723003503252738,-2036.0,-2027.0,9.0,7.0,12.5,-2036.0,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.0008230995366729776})",108.4
G1,800,as_committed_x3,read_flip,as_committed,0.002469298610018933,200,10000,0.1,10.0,2024,2,0.01,0.0027,0.0357,4582105.8,126.65901860079612,46.25925681361055,288.90926316780383,-2036.0,-2012.0,24.0,21.5,29.5,-2036.0,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.002469298610018933})",116.1
G1,800,as_committed_x10,read_flip,as_committed,0.008230995366729776,200,10000,0.1,10.0,2024,0,0.0,0.0,0.0188,inf,inf,nan,nan,-2023.0,-1958.0,78.0,71.5,83.0,-2036.0,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.008230995366729776})",119.0
G1,800,conservative_x1,read_flip,conservative,0.18194261193564404,200,10000,0.1,10.0,2024,0,0.0,0.0,0.0188,inf,inf,nan,nan,-991.0,-805.0,1231.0,1223.0,1243.5,-2036.0,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.18194261193564404})",124.2
G1,800,conservative_x3_cap+conservative_x10_cap,read_flip,conservative,0.5,200,10000,0.1,10.0,2024,0,0.0,0.0,0.0188,inf,inf,nan,nan,-165.0,-10.5,2025.5,2013.0,2037.0,-2036.0,"('circuit_chain', {'mode': 'none', 'p_read_flip': 0.5})",125.2
