instance,config,k_pulses,rho_eff,p_success,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio,ratio_lo,ratio_hi,target
ER14_p0.3,ideal,0,0.0,0.185,0.13730116322736063,0.2445718205011816,45023.55174449123,1.0,,,-6.877554338927609
ER14_p0.3,llg_rho_k1,1,0.3,0.16,0.11567342208544587,0.2171418619390124,52825.70372050297,1.1732904596307498,0.7359809056301774,1.899755322057505,-6.877554338927609
ER14_p0.3,llg_rho_k2,2,0.22,0.19,0.14167093792456503,0.250013585744794,43708.69065356568,0.9707961491268527,0.6070360772083598,1.562908215960397,-6.877554338927609
ER14_p0.3,llg_rho_k3,3,0.19,0.18,0.13294550662534108,0.2391159371623843,46411.17059563611,1.0308198442232994,0.6416351378498313,1.647394823389343,-6.877554338927609
ER14_p0.3,llg_rho_k4,4,0.13,0.175,0.12860441174608933,0.23364549210081925,47877.786329498784,1.063394256437283,0.657429098179715,1.7100091282682903,-6.877554338927609
ER64_p0.1,ideal,0,0.0,0.16,0.11567342208544587,0.2171418619390124,52825.70372050297,1.0,,,-56.84259775567446
ER64_p0.1,llg_rho_k1,1,0.3,0.08,0.049840155176266415,0.12599048979512317,110460.09412829409,2.091029297266546,1.1599791792876086,4.055360419227206,-56.84259775567446
ER64_p0.1,llg_rho_k2,2,0.22,0.095,0.06166261364986359,0.14360265114397636,92269.17887960219,1.7466720248118572,1.0,3.213061196289425,-56.84259775567446
ER64_p0.1,llg_rho_k3,3,0.19,0.11,0.07377190160716048,0.16092798300912986,79035.7740601823,1.4961613096222048,0.8650413519603432,2.6508206706153086,-56.84259775567446
ER64_p0.1,llg_rho_k4,4,0.13,0.13,0.09028141365225628,0.18366463072730121,66136.74885293115,1.2519804601724942,0.7355087871774485,2.1393944994431817,-56.84259775567446
