axis,param,value,p_success,tts99_sweeps,tts99_ratio,energy_min,energy_median,n_trials,n_sweeps
baseline,ideal,0,0.185,45023.55174449123,1.0,-6.877554338927609,-6.768274641449795,200,2000
dac_bits_fixed_u,bits,2,0.14,61067.25834642494,1.3563403147975037,-6.877554338927609,-5.646631543559911,200,2000
dac_bits_fixed_u,bits,3,0.11,79035.7740601823,1.7554317906483814,-6.877554338927609,-5.417713538371615,200,2000
dac_bits_fixed_u,bits,4,0.075,118139.53647330609,2.6239497306598167,-6.877554338927609,-5.417713538371615,200,2000
dac_bits_fixed_u,bits,5,0.085,103683.60385568213,2.302874825248946,-6.877554338927609,-5.417713538371615,200,2000
dac_bits_fixed_u,bits,6,0.08,110460.09412829409,2.4533847252912295,-6.877554338927609,-5.432274371337846,200,2000
dac_bits_fixed_u,bits,8,0.085,103683.60385568213,2.302874825248946,-6.877554338927609,-6.234643795782403,200,2000
dac_measured_6b,bits,6,0.095,92269.17887960219,2.049353622815677,-6.877554338927609,-6.3601117777340335,200,2000
dac_span_6b,span,2.0,0.02,455896.34236739756,10.125730305654482,-6.877554338927609,-4.341458282595324,200,2000
dac_span_6b,span,3.0,0.04,225622.00794491242,5.011199676678506,-6.877554338927609,-4.7922334810934215,200,2000
dac_span_6b,span,4.0,0.08,110460.09412829409,2.4533847252912295,-6.877554338927609,-5.432274371337846,200,2000
dac_span_6b,span,6.0,0.145,58794.231492411745,1.3058550295203086,-6.877554338927609,-6.695408920758185,200,2000
dac_span_6b,span,8.0,0.145,58794.231492411745,1.3058550295203086,-6.877554338927609,-6.768274641449795,200,2000
dac_bits_beta_scaled,bits,2,0.32,23881.86777356322,0.530430560189762,-6.877554338927609,-5.417713538371615,200,2000
dac_bits_beta_scaled,bits,3,0.73,7034.374082903813,0.15623765363567724,-6.877554338927609,-6.877554338927609,200,2000
dac_bits_beta_scaled,bits,4,0.24,33560.87389951044,0.7454070725021537,-6.877554338927609,-6.771199914674983,200,2000
dac_bits_beta_scaled,bits,5,0.2,41275.40463406469,0.9167514119788397,-6.877554338927609,-6.768274641449795,200,2000
dac_bits_beta_scaled,bits,6,0.215,38048.00665691129,0.8450689735193221,-6.877554338927609,-6.768274641449795,200,2000
dac_bits_beta_scaled,bits,8,0.16,52825.70372050297,1.1732904596307498,-6.877554338927609,-6.768274641449795,200,2000
reset_pulses,k,1,0.17,49430.37203954054,1.0978781132163455,-6.877554338927609,-6.768274641449795,200,2000
reset_pulses,k,2,0.215,38048.00665691129,0.8450689735193221,-6.877554338927609,-6.768274641449795,200,2000
reset_pulses,k,3,0.235,34382.407976939925,0.7636538354872617,-6.877554338927609,-6.771199914674983,200,2000
reset_pulses,k,4,0.225,36134.25039556745,0.8025633028826648,-6.877554338927609,-6.771199914674983,200,2000
reset_pulses,k,5,0.22,37069.50810371664,0.8233359356917506,-6.877554338927609,-6.768274641449795,200,2000
combined_meas6b_k3,k,3,0.14,61067.25834642494,1.3563403147975037,-6.877554338927609,-6.4823495702537235,200,2000
