instance,n,platform,tts,energy
G1,800,sMTJ-array,0.0003886866695581642,2.4971623570382984e-05
G1,800,sMTJ-array-e2e,0.009973699940862495,0.0004619909821718619
G1,800,cmos-pbit,0.002591244463721095,0.00015946119776745197
G1,800,fpga-sbm,0.000159461197767452,0.0318922395534904
G1,800,cpu-numba,4.509859270643103,126.27605957800687
G22,2000,sMTJ-array,0.054707561084087704,0.0035696683607367224
G22,2000,sMTJ-array-e2e,1.4037960174176907,0.06604114415534121
G22,2000,cmos-pbit,0.36471707389391805,0.02279481711836988
G22,2000,fpga-sbm,0.0182358536946959,4.558963423673976
G22,2000,cpu-numba,644.6798264604378,18051.035140892258
factor_M15,5,sMTJ-array,0.00022941343220452486,1.1975381161076197e-06
factor_M15,5,sMTJ-array-e2e,0.005886748670368108,2.215521985943165e-05
factor_M15,5,cmos-pbit,0.001529422881363499,7.647114406817495e-06
factor_M15,5,fpga-sbm,0.00030588457627269983,0.001529422881363499
factor_M15,5,cpu-numba,0.2162746190552798,6.055689333547835
factor_M21,5,sMTJ-array,0.00047631225687171645,2.48634998087036e-06
factor_M21,5,sMTJ-array-e2e,0.012222172511328245,4.599906235362457e-05
factor_M21,5,cmos-pbit,0.003175415045811443,1.5877075229057214e-05
factor_M21,5,fpga-sbm,0.0006350830091622887,0.003175415045811443
factor_M21,5,cpu-numba,0.44903321883285635,12.572930127319978
factor_M33,7,sMTJ-array,0.0010278059494469886,7.5112058785585925e-06
factor_M33,7,sMTJ-array-e2e,0.02637350066280973,0.00013896210518109806
factor_M33,7,cmos-pbit,0.006852039662979924,4.7964277640859464e-05
factor_M33,7,fpga-sbm,0.001370407932595985,0.009592855528171894
factor_M33,7,cpu-numba,1.3565189852253936,37.98253158631102
factor_M35,8,sMTJ-array,0.00032781517990174256,2.737912382539354e-06
factor_M35,8,sMTJ-array-e2e,0.008411737516278715,5.06531274246042e-05
factor_M35,8,cmos-pbit,0.002185434532678284,1.748347626142627e-05
factor_M35,8,fpga-sbm,0.0004370869065356568,0.0034966952522852545
factor_M35,8,cpu-numba,0.494465227933687,13.845026382143235
factor_M51,9,sMTJ-array,0.001346717024410645,1.2653753161362421e-05
factor_M51,9,sMTJ-array-e2e,0.034556758846377156,0.0002341025137873513
factor_M51,9,cmos-pbit,0.008978113496070968,8.08030214646387e-05
factor_M51,9,fpga-sbm,0.0017956226992141937,0.016160604292927743
factor_M51,9,cpu-numba,2.285259740615439,63.98727273723228
factor_M65,11,sMTJ-array,0.001346717024410645,1.546569830833185e-05
factor_M65,11,sMTJ-array-e2e,0.034556758846377156,0.0002861252946289849
factor_M65,11,cmos-pbit,0.008978113496070968,9.875924845678064e-05
factor_M65,11,fpga-sbm,0.0017956226992141937,0.01975184969135613
factor_M65,11,cpu-numba,2.7930952385299808,78.20666667883945
factor_M77,11,sMTJ-array,0.0006920188415970162,7.947144376900133e-06
factor_M77,11,sMTJ-array-e2e,0.017757203475379436,0.00014702724577749088
factor_M77,11,cmos-pbit,0.0046134589439801085,5.074804838378118e-05
factor_M77,11,fpga-sbm,0.0009226917887960217,0.010149609676756238
factor_M77,11,cpu-numba,1.4352491996479588,40.186977590142845
factor_M91,11,sMTJ-array,0.0011163976093723409,1.2820710146031961e-05
factor_M91,11,sMTJ-array-e2e,0.028646762656494268,0.00023719132461739336
factor_M91,11,cmos-pbit,0.007442650729148939,8.186915802063832e-05
factor_M91,11,fpga-sbm,0.0014885301458297878,0.016373831604127666
factor_M91,11,cpu-numba,2.3154120654327794,64.83153783211782
factor_M143,15,sMTJ-array,0.0008860465235497955,1.3875488558789797e-05
factor_M143,15,sMTJ-array-e2e,0.022735953794287753,0.00025670539880284673
factor_M143,15,cmos-pbit,0.005906976823665303,8.860465235497955e-05
factor_M143,15,fpga-sbm,0.0011813953647330606,0.01772093047099591
factor_M143,15,cpu-numba,2.5059043732253716,70.1653224503104
burma14,196,sMTJ-array,0.06873158648300826,0.0035160330381247703
burma14,196,sMTJ-array-e2e,1.763652509153992,0.06504885643713337
burma14,196,cmos-pbit,0.45821057655338837,0.02245231825111603
burma14,196,fpga-sbm,0.022910528827669422,4.490463650223206
burma14,196,cpu-numba,634.9933214467097,17779.813000507867
ulysses16,256,sMTJ-array,0.06873158648300826,0.00459236968244868
ulysses16,256,sMTJ-array-e2e,1.763652509153992,0.08496177167299053
ulysses16,256,cmos-pbit,0.45821057655338837,0.029325476899416857
ulysses16,256,fpga-sbm,0.022910528827669422,5.865095379883372
ulysses16,256,cpu-numba,829.3790320936616,23222.612898622523
