part,instance,n,target_kind,config,structure,saturation,k,p_success,hits,wilson_lo,wilson_hi,tts99_sweeps,tts99_ratio,ratio_lo,ratio_hi,frac_undefined,energy_min,energy_median,residual_median,target,n_trials,n_sweeps,wall_s
mech,ER14_p0.3,14,ENUM,ideal,-,none,0,0.185,37,0.1373,0.2446,45023.55174449123,1.0,,,,-6.877554338927609,-6.768274641449795,0.01588932520086123,-6.87755433892761,200,2000,6.1
mech,ER14_p0.3,14,ENUM,sticky_k1,two_step,asymmetric,1,0.17,34,0.1243,0.2282,49430.37203954054,1.0978781132163455,0.6828457752386715,1.7841280404338624,0.0,-6.877554338927609,-6.768274641449795,0.01588932520086123,-6.87755433892761,200,2000,7.9
mech,ER14_p0.3,14,ENUM,sticky_k3,two_step,asymmetric,3,0.235,47,0.1816,0.2984,34382.407976939925,0.7636538354872617,0.4865651049263102,1.1750897723578144,0.0,-6.877554338927609,-6.771199914674983,0.015463988943082744,-6.87755433892761,200,2000,8.0
mech,ER14_p0.3,14,ENUM,asym_ceiling,one_step,asymmetric,0,0.055,11,0.031,0.0958,162812.1468162651,3.61615511233375,1.9627491269073216,8.085119067013466,0.0,-6.877554338927609,-4.752856463962827,0.30893218290385466,-6.87755433892761,200,2000,7.9
mech,ER14_p0.3,14,ENUM,twostep_symsat_k1,two_step,symmetric,1,0.085,17,0.0537,0.1319,103683.60385568213,2.302874825248946,1.3442776961951275,4.329336522410349,0.0,-6.877554338927609,-4.7922334810934215,0.3032067440065249,-6.87755433892761,200,2000,9.9
mech,ER14_p0.3,14,ENUM,twostep_symsat_k3,two_step,symmetric,3,0.065,13,0.0384,0.108,137040.7932595985,3.0437579433383073,1.6978591582988927,6.402547626738892,0.0,-6.877554338927609,-4.682953783615608,0.3190960692073859,-6.87755433892761,200,2000,10.6
mech,ER14_p0.3,14,ENUM,sym_clip_pmax072,one_step,symmetric,0,0.0,0,0.0,0.0188,inf,inf,nan,nan,1.0,-6.838177321797014,-2.5810898257670845,0.6247081886132297,-6.87755433892761,200,2000,9.2
scale,ER20_p0.3,20,ENUM,ideal,-,none,0,0.49,98,0.4216,0.5588,13678.49539635062,1.0,,,,-15.953545212538145,-15.653046578018683,0.018835853129578705,-15.953545212538145,200,2000,9.4
scale,ER20_p0.3,20,ENUM,sticky_k1,two_step,asymmetric,1,0.49,98,0.4216,0.5588,13678.49539635062,1.0,0.7515854994321892,1.337423616759636,0.0,-15.953545212538145,-15.653046578018683,0.018835853129578705,-15.953545212538145,200,2000,12.4
scale,ER20_p0.3,20,ENUM,sticky_k3,two_step,asymmetric,3,0.545,109,0.4758,0.6125,11696.296194962628,0.8550864591498246,0.6472661620664039,1.133697184256475,0.0,-15.953545212538145,-15.953545212538145,0.0,-15.953545212538145,200,2000,12.1
scale,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",ideal,-,none,0,0.16,32,0.1157,0.2171,52825.70372050297,1.0,,,,-56.84259775567446,-56.5097079305336,0.005856344331265696,-56.84259775567446,200,2000,12.3
scale,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",sticky_k1,two_step,asymmetric,1,0.07,14,0.0422,0.1141,126915.42566553837,2.402531660288689,1.311856625541891,4.893831021113596,0.0,-56.84259775567446,-56.016472403388974,0.014533560831199294,-56.84259775567446,200,2000,16.4
scale,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",sticky_k3,two_step,asymmetric,3,0.105,21,0.0697,0.1552,83027.23150429458,1.5717203114526546,0.9079297200767925,2.8273826780261775,0.0,-56.84259775567446,-56.39684458278446,0.00784188602368199,-56.84259775567446,200,2000,18.4
