variant,trial,sweep,energy
ideal,0,0,1.0
ideal,0,1,3.0
ideal,0,2,-2.0
ideal,0,3,0.0
ideal,0,4,0.0
ideal,0,5,3.0
ideal,0,6,1.0
ideal,0,7,1.0
ideal,0,8,-2.0
ideal,0,9,3.0
ideal,0,10,-1.0
ideal,0,11,-1.0
ideal,0,12,0.0
ideal,0,13,-2.0
ideal,0,14,0.0
ideal,0,15,-2.0
ideal,0,16,1.0
ideal,0,17,0.0
ideal,0,18,-1.0
ideal,0,19,1.0
ideal,0,20,-1.0
ideal,0,21,1.0
ideal,0,22,-1.0
ideal,0,23,-2.0
ideal,0,24,-1.0
ideal,0,25,0.0
ideal,0,26,-1.0
ideal,0,27,-2.0
ideal,0,28,-1.0
ideal,0,29,-1.0
ideal,0,30,-1.0
ideal,0,31,1.0
ideal,0,32,1.0
ideal,0,33,0.0
ideal,0,34,1.0
ideal,0,35,0.0
ideal,0,36,1.0
ideal,0,37,-2.0
ideal,0,38,0.0
ideal,0,39,-2.0
ideal,0,40,0.0
ideal,0,41,0.0
ideal,0,42,0.0
ideal,0,43,-1.0
ideal,0,44,-1.0
ideal,0,45,-2.0
ideal,0,46,0.0
ideal,0,47,-1.0
ideal,0,48,1.0
ideal,0,49,0.0
ideal,0,50,-2.0
ideal,0,51,0.0
ideal,0,52,-2.0
ideal,0,53,0.0
ideal,0,54,0.0
ideal,0,55,-2.0
ideal,0,56,-2.0
ideal,0,57,0.0
ideal,0,58,-2.0
ideal,0,59,0.0
ideal,0,60,0.0
ideal,0,61,-2.0
ideal,0,62,-1.0
ideal,0,63,-2.0
ideal,0,64,-2.0
ideal,0,65,-2.0
ideal,0,66,0.0
ideal,0,67,-2.0
ideal,0,68,-2.0
ideal,0,69,1.0
ideal,0,70,0.0
ideal,0,71,-2.0
ideal,0,72,-1.0
ideal,0,73,-2.0
ideal,0,74,0.0
ideal,0,75,-2.0
ideal,0,76,-2.0
ideal,0,77,-2.0
ideal,0,78,-2.0
ideal,0,79,-1.0
ideal,0,80,-2.0
ideal,0,81,-2.0
ideal,0,82,0.0
ideal,0,83,-2.0
ideal,0,84,-1.0
ideal,0,85,-2.0
ideal,0,86,-2.0
ideal,0,87,-2.0
ideal,0,88,0.0
ideal,0,89,-2.0
ideal,0,90,-2.0
ideal,0,91,-2.0
ideal,0,92,-2.0
ideal,0,93,0.0
ideal,0,94,0.0
ideal,0,95,-2.0
ideal,0,96,-2.0
ideal,0,97,0.0
ideal,0,98,-2.0
ideal,0,99,-2.0
ideal,0,100,-2.0
ideal,0,101,-2.0
ideal,0,102,-2.0
ideal,0,103,-1.0
ideal,0,104,-2.0
ideal,0,105,-2.0
ideal,0,106,-2.0
ideal,0,107,-2.0
ideal,0,108,0.0
ideal,0,109,-1.0
ideal,0,110,-1.0
ideal,0,111,-2.0
ideal,0,112,-2.0
ideal,0,113,-2.0
ideal,0,114,-1.0
ideal,0,115,-2.0
ideal,0,116,-2.0
ideal,0,117,0.0
ideal,0,118,-2.0
ideal,0,119,-2.0
ideal,0,120,-2.0
ideal,0,121,-2.0
ideal,0,122,-2.0
ideal,0,123,-2.0
ideal,0,124,-2.0
ideal,0,125,-2.0
ideal,0,126,-2.0
ideal,0,127,-2.0
ideal,0,128,-2.0
ideal,0,129,0.0
ideal,0,130,-1.0
ideal,0,131,-1.0
ideal,0,132,0.0
ideal,0,133,-1.0
ideal,0,134,-2.0
ideal,0,135,-2.0
ideal,0,136,-2.0
ideal,0,137,-2.0
ideal,0,138,-2.0
ideal,0,139,-2.0
ideal,0,140,-2.0
ideal,0,141,-2.0
ideal,0,142,-2.0
ideal,0,143,-2.0
ideal,0,144,-2.0
ideal,0,145,-2.0
ideal,0,146,-2.0
ideal,0,147,-2.0
ideal,0,148,-2.0
ideal,0,149,-2.0
ideal,0,150,-2.0
ideal,0,151,-2.0
ideal,0,152,-2.0
ideal,0,153,-2.0
ideal,0,154,-2.0
ideal,0,155,-2.0
ideal,0,156,-1.0
ideal,0,157,-2.0
ideal,0,158,-2.0
ideal,0,159,-2.0
ideal,0,160,-2.0
ideal,0,161,-2.0
ideal,0,162,-2.0
ideal,0,163,-2.0
ideal,0,164,-2.0
ideal,0,165,-2.0
ideal,0,166,-2.0
ideal,0,167,-2.0
ideal,0,168,-2.0
ideal,0,169,-2.0
ideal,0,170,-2.0
ideal,0,171,-2.0
ideal,0,172,-2.0
ideal,0,173,-2.0
ideal,0,174,-2.0
ideal,0,175,-2.0
ideal,0,176,-2.0
ideal,0,177,-2.0
ideal,0,178,-2.0
ideal,0,179,-2.0
ideal,0,180,-2.0
ideal,0,181,-2.0
ideal,0,182,-2.0
ideal,0,183,-2.0
ideal,0,184,-2.0
ideal,0,185,-2.0
ideal,0,186,-2.0
ideal,0,187,-2.0
ideal,0,188,-2.0
ideal,0,189,-2.0
ideal,0,190,-2.0
ideal,0,191,-2.0
ideal,0,192,-2.0
ideal,0,193,-2.0
ideal,0,194,-2.0
ideal,0,195,-2.0
ideal,0,196,-2.0
ideal,0,197,-2.0
ideal,0,198,-2.0
ideal,0,199,-2.0
ideal,0,200,-2.0
ideal,1,0,-2.0
ideal,1,1,0.0
ideal,1,2,0.0
ideal,1,3,-1.0
ideal,1,4,0.0
ideal,1,5,0.0
ideal,1,6,-1.0
ideal,1,7,0.0
ideal,1,8,3.0
ideal,1,9,0.0
ideal,1,10,0.0
ideal,1,11,0.0
ideal,1,12,1.0
ideal,1,13,0.0
ideal,1,14,-1.0
ideal,1,15,-2.0
ideal,1,16,-2.0
ideal,1,17,0.0
ideal,1,18,-2.0
ideal,1,19,0.0
ideal,1,20,-1.0
ideal,1,21,-2.0
ideal,1,22,0.0
ideal,1,23,-1.0
ideal,1,24,1.0
ideal,1,25,1.0
ideal,1,26,1.0
ideal,1,27,0.0
ideal,1,28,-1.0
ideal,1,29,-1.0
ideal,1,30,1.0
ideal,1,31,-1.0
ideal,1,32,0.0
ideal,1,33,1.0
ideal,1,34,-2.0
ideal,1,35,0.0
ideal,1,36,1.0
ideal,1,37,-2.0
ideal,1,38,-1.0
ideal,1,39,0.0
ideal,1,40,-1.0
ideal,1,41,-1.0
ideal,1,42,1.0
ideal,1,43,-1.0
ideal,1,44,-1.0
ideal,1,45,0.0
ideal,1,46,0.0
ideal,1,47,1.0
ideal,1,48,0.0
ideal,1,49,0.0
ideal,1,50,0.0
ideal,1,51,0.0
ideal,1,52,0.0
ideal,1,53,1.0
ideal,1,54,0.0
ideal,1,55,0.0
ideal,1,56,0.0
ideal,1,57,-1.0
ideal,1,58,0.0
ideal,1,59,-1.0
ideal,1,60,-1.0
ideal,1,61,0.0
ideal,1,62,0.0
ideal,1,63,-2.0
ideal,1,64,-1.0
ideal,1,65,-2.0
ideal,1,66,-2.0
ideal,1,67,0.0
ideal,1,68,-2.0
ideal,1,69,0.0
ideal,1,70,0.0
ideal,1,71,0.0
ideal,1,72,0.0
ideal,1,73,-2.0
ideal,1,74,-2.0
ideal,1,75,-2.0
ideal,1,76,-1.0
ideal,1,77,1.0
ideal,1,78,-1.0
ideal,1,79,1.0
ideal,1,80,-2.0
ideal,1,81,-2.0
ideal,1,82,-1.0
ideal,1,83,1.0
ideal,1,84,-2.0
ideal,1,85,-2.0
ideal,1,86,-2.0
ideal,1,87,-2.0
ideal,1,88,-1.0
ideal,1,89,-1.0
ideal,1,90,-1.0
ideal,1,91,-1.0
ideal,1,92,0.0
ideal,1,93,-2.0
ideal,1,94,-2.0
ideal,1,95,-2.0
ideal,1,96,1.0
ideal,1,97,-1.0
ideal,1,98,-1.0
ideal,1,99,1.0
ideal,1,100,-2.0
ideal,1,101,-2.0
ideal,1,102,-2.0
ideal,1,103,-1.0
ideal,1,104,-2.0
ideal,1,105,-2.0
ideal,1,106,-1.0
ideal,1,107,0.0
ideal,1,108,-1.0
ideal,1,109,0.0
ideal,1,110,-2.0
ideal,1,111,-2.0
ideal,1,112,-2.0
ideal,1,113,-2.0
ideal,1,114,0.0
ideal,1,115,-2.0
ideal,1,116,-2.0
ideal,1,117,-2.0
ideal,1,118,-2.0
ideal,1,119,-2.0
ideal,1,120,-2.0
ideal,1,121,-2.0
ideal,1,122,-2.0
ideal,1,123,-1.0
ideal,1,124,-2.0
ideal,1,125,-2.0
ideal,1,126,-2.0
ideal,1,127,-2.0
ideal,1,128,-1.0
ideal,1,129,-2.0
ideal,1,130,-1.0
ideal,1,131,-2.0
ideal,1,132,-2.0
ideal,1,133,-2.0
ideal,1,134,-2.0
ideal,1,135,-2.0
ideal,1,136,-2.0
ideal,1,137,0.0
ideal,1,138,-1.0
ideal,1,139,-1.0
