idx,vamp,mz_final,state
0,-0.9,0.063,X
1,-0.9,0.3004,P
2,-0.9,-0.9561,AP
3,-0.9,0.7769,P
4,-0.9,0.0478,X
5,-0.9,0.9075,P
6,-0.9,0.5591,P
7,-0.9,-0.9753,AP
8,-0.9,-0.9755,AP
9,-0.9,-0.9859,AP
10,-0.9,-0.982,AP
11,-0.9,0.9937,P
12,-0.9,0.3895,P
13,-0.9,0.5535,P
14,-0.9,0.6438,P
15,-0.9,-0.9916,AP
16,-0.9,-0.4418,AP
17,-0.9,-0.2995,AP
18,-0.9,-0.8998,AP
19,-0.9,0.9614,P
20,-0.9,0.243,P
21,-0.9,-0.9122,AP
22,-0.9,0.9993,P
23,-0.9,-0.9119,AP
24,-0.9,0.99,P
25,-0.9,-0.9855,AP
26,-0.9,0.6125,P
27,-0.9,0.9441,P
28,-0.9,0.7552,P
29,-0.9,-0.9763,AP
30,-0.9,-0.9848,AP
31,-0.9,-0.2473,AP
32,-0.9,-0.0151,X
33,-0.9,0.8998,P
34,-0.9,-0.3339,AP
35,-0.9,0.582,P
36,-0.9,-0.8872,AP
37,-0.9,-0.982,AP
38,-0.9,0.5311,P
39,-0.9,0.7826,P
40,-0.9,0.1616,X
41,-0.9,0.8585,P
42,-0.9,-0.9964,AP
43,-0.9,0.5732,P
44,-0.9,0.4595,P
45,-0.9,0.4235,P
46,-0.9,0.1597,X
47,-0.9,0.5263,P
48,-0.9,0.5511,P
49,-0.9,0.2133,P
50,-0.9,0.1205,X
51,-0.9,-0.9962,AP
52,-0.9,0.426,P
53,-0.9,0.0335,X
54,-0.9,0.2299,P
55,-0.9,0.5755,P
56,-0.9,0.9825,P
57,-0.9,-0.714,AP
58,-0.9,-0.9977,AP
59,-0.9,0.3333,P
60,-0.9,0.6552,P
61,-0.9,-0.2355,AP
62,-0.9,0.7455,P
63,-0.9,-0.9506,AP
64,-0.9,-0.5382,AP
65,-0.9,0.6156,P
66,-0.9,0.9294,P
67,-0.9,-0.4712,AP
68,-0.9,0.5129,P
69,-0.9,-0.9778,AP
70,-0.9,-0.9445,AP
71,-0.9,-0.3989,AP
72,-0.9,0.7565,P
73,-0.9,0.8677,P
74,-0.9,-0.9894,AP
75,-0.9,0.1222,X
76,-0.9,-0.298,AP
77,-0.9,0.5562,P
78,-0.9,-0.1617,X
79,-0.9,0.1424,X
80,-0.9,-0.8659,AP
81,-0.9,-0.9756,AP
82,-0.9,0.7785,P
83,-0.9,-0.1008,X
84,-0.9,0.1055,X
85,-0.9,-0.1023,X
86,-0.9,0.5346,P
87,-0.9,-0.9952,AP
88,-0.9,-0.1886,X
89,-0.9,-0.1172,X
90,-0.9,-0.9175,AP
91,-0.9,0.3367,P
92,-0.9,-0.2383,AP
93,-0.9,-0.89,AP
94,-0.9,0.6478,P
95,-0.9,-0.2796,AP
96,-0.9,0.7367,P
97,-0.9,0.4898,P
98,-0.9,-0.411,AP
99,-0.9,-0.9998,AP
100,-0.9,-0.9791,AP
101,-0.9,0.4833,P
102,-0.9,0.5065,P
103,-0.9,-1.0,AP
104,-0.9,-0.9981,AP
105,-0.9,0.7046,P
106,-0.9,0.6285,P
107,-0.9,0.2211,P
108,-0.9,0.7665,P
109,-0.9,0.3805,P
110,-0.9,-0.9987,AP
111,-0.9,-0.1215,X
112,-0.9,0.2907,P
113,-0.9,-0.8965,AP
114,-0.9,-0.0385,X
115,-0.9,-0.1435,X
116,-0.9,0.0961,X
117,-0.9,-0.1805,X
118,-0.9,0.9173,P
119,-0.9,0.5082,P
120,-0.9,-0.9834,AP
121,-0.9,0.999,P
122,-0.9,0.564,P
123,-0.9,0.527,P
124,-0.9,-0.6699,AP
125,-0.9,-0.9334,AP
126,-0.9,0.5074,P
127,-0.9,0.6327,P
128,-0.9,-0.9995,AP
129,-0.9,0.6811,P
130,-0.9,0.7831,P
131,-0.9,0.6233,P
132,-0.9,0.6843,P
133,-0.9,-0.999,AP
134,-0.9,-0.2247,AP
135,-0.9,0.3667,P
136,-0.9,0.5987,P
137,-0.9,0.82,P
138,-0.9,-0.1234,X
139,-0.9,-0.9917,AP
140,-0.9,0.8079,P
141,-0.9,-0.1134,X
142,-0.9,-0.9852,AP
143,-0.9,0.6644,P
144,-0.9,0.4518,P
145,-0.9,0.8727,P
146,-0.9,0.1867,X
147,-0.9,-0.7385,AP
148,-0.9,0.4007,P
149,-0.9,0.8621,P
150,-0.9,0.4307,P
151,-0.9,0.7681,P
152,-0.9,-0.2248,AP
153,-0.9,-0.9683,AP
154,-0.9,0.7509,P
155,-0.9,0.139,X
156,-0.9,-0.9874,AP
157,-0.9,-0.238,AP
158,-0.9,0.9887,P
159,-0.9,0.9354,P
160,-0.9,0.601,P
161,-0.9,-0.9823,AP
162,-0.9,0.6997,P
163,-0.9,0.8907,P
164,-0.9,-0.9524,AP
165,-0.9,0.3767,P
166,-0.9,0.6005,P
167,-0.9,-0.9922,AP
168,-0.9,0.2047,P
169,-0.9,0.2037,P
170,-0.9,0.7413,P
171,-0.9,-0.9902,AP
172,-0.9,0.4437,P
173,-0.9,-0.9833,AP
174,-0.9,-0.9862,AP
175,-0.9,-0.9873,AP
176,-0.9,-0.9393,AP
177,-0.9,0.7001,P
178,-0.9,-0.7832,AP
179,-0.9,-0.2297,AP
180,-0.9,-0.9171,AP
181,-0.9,0.0211,X
182,-0.9,-0.9915,AP
183,-0.9,-0.1697,X
184,-0.9,-0.6486,AP
185,-0.9,0.202,P
186,-0.9,0.8167,P
187,-0.9,0.7473,P
188,-0.9,0.9806,P
189,-0.9,0.9118,P
190,-0.9,-0.2946,AP
191,-0.9,0.2035,P
192,-0.9,-0.1456,X
193,-0.9,0.1345,X
194,-0.9,-0.8377,AP
195,-0.9,-0.9708,AP
196,-0.9,-0.0219,X
197,-0.9,-0.9746,AP
198,-0.9,0.4906,P
199,-0.9,0.9511,P
200,-0.95,-0.0123,X
201,-0.95,-0.1299,X
202,-0.95,0.2298,P
203,-0.95,0.313,P
204,-0.95,-0.209,AP
205,-0.95,0.8519,P
206,-0.95,0.5574,P
207,-0.95,-0.1843,X
208,-0.95,0.2482,P
209,-0.95,-0.9876,AP
210,-0.95,-0.5598,AP
211,-0.95,-0.1646,X
212,-0.95,0.3767,P
213,-0.95,0.981,P
214,-0.95,0.0807,X
215,-0.95,0.2558,P
216,-0.95,0.7051,P
217,-0.95,-0.3401,AP
218,-0.95,0.7692,P
219,-0.95,0.4362,P
220,-0.95,0.5567,P
221,-0.95,0.4487,P
222,-0.95,-0.9974,AP
223,-0.95,-0.0473,X
224,-0.95,0.0367,X
225,-0.95,0.4526,P
226,-0.95,0.4053,P
227,-0.95,0.0705,X
228,-0.95,0.6137,P
229,-0.95,0.997,P
230,-0.95,-0.1793,X
231,-0.95,0.5732,P
232,-0.95,0.6586,P
233,-0.95,0.6469,P
234,-0.95,0.7602,P
235,-0.95,-0.9814,AP
236,-0.95,0.0063,X
237,-0.95,-0.4936,AP
238,-0.95,0.3284,P
239,-0.95,-0.9628,AP
240,-0.95,0.2659,P
241,-0.95,-0.9743,AP
242,-0.95,-0.9697,AP
243,-0.95,0.9997,P
244,-0.95,0.9282,P
245,-0.95,0.5038,P
246,-0.95,0.666,P
247,-0.95,0.634,P
248,-0.95,-0.2368,AP
249,-0.95,0.6789,P
250,-0.95,0.7291,P
251,-0.95,0.1134,X
252,-0.95,0.6724,P
253,-0.95,0.5755,P
254,-0.95,-0.7041,AP
255,-0.95,0.6426,P
256,-0.95,0.5118,P
257,-0.95,-0.1198,X
258,-0.95,0.0092,X
259,-0.95,0.1118,X
260,-0.95,0.6273,P
261,-0.95,0.6121,P
