idx,s0,s1,s2,s3,s_final,mz0,mz1,mz2,mz3,mz_final
0,AP,AP,AP,AP,P,-0.9926,-0.3453,-0.3152,-0.5041,0.9793
1,AP,P,X,P,P,-0.9849,0.6827,-0.1087,0.6806,0.8142
2,AP,AP,X,P,P,-0.9844,-0.5236,-0.1722,0.7466,0.5346
3,AP,P,AP,P,P,-0.9939,0.6618,-0.2858,0.496,0.2899
4,AP,P,P,P,P,-0.9959,0.9579,0.7435,0.7356,0.4993
5,AP,AP,P,P,AP,-0.9948,-0.3493,0.7154,0.7906,-0.4146
6,AP,AP,P,P,AP,-0.9924,-0.3555,0.5566,0.4456,-0.3841
7,AP,P,P,P,P,-0.9958,0.4644,0.7956,0.3204,0.5255
8,AP,P,P,P,P,-0.9943,0.6419,0.4027,0.4995,0.6275
9,AP,AP,AP,P,AP,-0.994,-0.9407,-0.9995,0.8076,-0.2129
10,AP,P,P,P,X,-0.9993,0.9427,0.9961,0.5229,0.1287
11,AP,X,X,P,P,-0.9901,-0.0653,-0.0949,0.7028,0.5276
12,AP,P,AP,P,P,-0.9974,0.2069,-0.3946,0.7819,0.6194
13,AP,P,P,P,P,-0.9921,0.465,0.6906,0.5818,0.4962
14,AP,P,P,P,X,-0.9853,0.5041,0.2954,0.3151,-0.0945
15,AP,P,P,P,AP,-0.9988,0.937,0.9957,0.9446,-0.9486
16,AP,X,X,P,X,-0.9903,-0.078,0.0334,0.7412,0.1755
17,AP,AP,P,P,P,-0.9995,-0.855,0.5341,0.6336,0.5466
18,AP,P,P,AP,P,-0.9928,0.4895,0.5795,-0.2974,0.3133
19,AP,P,P,X,X,-0.9955,0.9638,0.9997,-0.1657,0.0045
20,AP,P,P,X,P,-0.9923,0.9807,0.7747,-0.1662,0.6649
21,AP,P,P,P,P,-0.9938,0.87,0.6199,0.6866,0.8244
22,AP,P,P,P,AP,-0.9959,0.7177,0.7612,0.7749,-0.9541
23,AP,AP,P,P,X,-0.9992,-0.655,0.7857,0.965,0.0592
24,AP,AP,AP,AP,AP,-0.979,-0.4719,-0.257,-0.3306,-0.3036
25,AP,P,P,P,P,-0.9991,0.7553,0.5388,0.9024,0.2613
26,AP,AP,P,P,P,-0.9998,-0.3281,0.4909,0.7109,0.5034
27,AP,AP,P,AP,P,-0.9921,-0.9997,0.7185,-0.2391,0.8641
28,AP,AP,AP,P,P,-0.9797,-0.3226,-0.4204,0.7171,0.2922
29,AP,P,AP,AP,P,-0.9943,0.5356,-0.5462,-0.3136,0.7124
30,AP,P,P,P,X,-0.9989,0.9713,0.3138,0.9219,-0.0134
31,AP,P,P,P,P,-0.9963,0.733,0.9569,0.9972,0.4185
32,AP,AP,AP,AP,P,-0.9856,-0.4505,-0.2956,-0.3034,0.6505
33,AP,P,P,P,P,-0.9904,0.7342,0.673,0.5629,0.575
34,AP,AP,X,P,P,-0.9957,-0.2234,-0.0247,0.6589,0.3164
35,AP,P,X,P,P,-0.9896,0.5999,-0.1378,0.6612,0.8473
36,AP,AP,P,P,X,-0.9985,-0.8559,0.7732,0.2352,-0.091
37,AP,AP,AP,AP,P,-0.9952,-0.2372,-0.3964,-0.3882,0.3671
38,AP,P,P,AP,X,-0.9987,0.9193,0.8005,-0.3452,-0.174
39,AP,P,AP,P,P,-0.9834,0.5831,-0.3315,0.7921,0.9837
40,AP,P,P,P,P,-0.9897,0.7939,0.5984,0.2597,0.9965
41,AP,P,P,P,X,-0.9925,0.406,0.5842,0.9243,-0.1903
42,AP,AP,P,P,P,-0.9997,-0.6879,0.957,0.8017,0.4837
43,AP,AP,P,P,P,-0.9976,-0.2526,0.8125,0.82,0.6547
44,AP,AP,P,AP,P,-0.9999,-0.8403,0.3964,-0.4057,0.5369
45,AP,AP,AP,P,P,-0.9973,-0.9883,-0.9843,0.9375,0.213
46,AP,AP,X,AP,P,-0.9773,-0.3077,-0.1765,-0.3269,0.9627
47,AP,AP,P,P,P,-0.995,-0.9812,0.7058,0.5842,0.7553
48,AP,P,P,P,P,-0.9967,0.6799,0.484,0.6937,0.4715
49,AP,P,AP,AP,P,-0.9961,0.9096,-0.4806,-0.2083,0.2147
50,AP,AP,P,P,P,-0.995,-0.2694,0.8235,0.5983,0.4415
51,AP,P,P,P,P,-0.9976,0.4547,0.599,0.7062,0.9483
52,AP,AP,AP,AP,X,-0.9945,-0.3181,-0.2821,-0.2583,-0.1705
53,AP,P,P,P,P,-0.9874,0.6947,0.2662,0.5949,0.5761
54,AP,P,AP,X,P,-0.9817,0.8153,-0.5332,0.0788,0.5192
55,AP,P,AP,P,X,-0.9787,0.692,-0.8351,0.6451,-0.1262
56,AP,AP,AP,AP,P,-0.9987,-0.6583,-0.2848,-0.3164,0.652
57,AP,P,P,P,AP,-0.9944,0.5979,0.3707,0.5328,-0.8409
58,AP,P,AP,AP,P,-0.9815,0.637,-0.2681,-0.2507,0.3838
59,AP,AP,P,P,X,-0.9995,-0.3905,0.5562,0.4145,-0.0452
60,AP,P,X,P,X,-0.9981,0.6072,0.0024,0.6752,-0.075
61,AP,AP,P,P,P,-0.9905,-0.4328,0.4776,0.5552,0.3261
62,AP,AP,AP,P,P,-0.9741,-0.3407,-0.2008,0.7511,0.5945
63,AP,P,P,AP,P,-0.9966,0.4592,0.7671,-0.244,0.5737
64,AP,P,P,P,P,-0.999,0.6963,0.652,0.5692,0.6101
65,AP,AP,P,P,P,-0.9987,-0.9649,0.7746,0.7993,0.6102
66,AP,P,X,P,AP,-0.9911,0.5935,-0.0038,0.2338,-0.2154
67,AP,P,AP,AP,P,-0.9774,0.78,-0.4026,-0.443,0.7711
68,AP,X,X,AP,P,-0.9901,-0.1262,-0.1224,-0.3013,0.5406
69,AP,AP,P,P,P,-0.9938,-0.9538,0.7287,0.4693,0.6317
70,AP,AP,P,P,P,-0.9973,-0.5767,0.6615,0.7224,0.6845
71,AP,P,X,AP,P,-0.9972,0.5136,-0.1459,-0.3102,0.8138
72,AP,AP,P,AP,P,-0.9996,-0.2739,0.8129,-0.5171,0.5248
73,AP,P,X,AP,P,-0.9943,0.8226,-0.061,-0.2425,0.531
74,AP,P,P,P,P,-0.9937,0.7872,0.7618,0.4893,0.6714
75,AP,AP,P,P,P,-0.9978,-0.2375,0.5954,0.7968,0.2014
76,AP,P,P,P,P,-0.9998,0.6859,0.563,0.6185,0.6331
77,AP,AP,AP,P,X,-0.9903,-0.8974,-0.5152,0.7403,0.1083
